bp,rank,score,ts,uptime_score
B62qpanxZjnQLtZHQfY8VGgCYyE29aDcG7BL2KwkQJbDzaSxwwZqT7i,62,8698,2021-05-22 11:26:39.362277,97.13 %
B62qnR2AHmcnyb7v3cVvuZWriEnArx7yMkXBcnzpFQXCmGxAAv4nJSV,63,8696,2021-05-22 11:26:39.362277,97.11 %
B62qoXQhp63oNsLSN9Dy7wcF3PzLmdBnnin2rTnNWLbpgF7diABciU6,64,8693,2021-05-22 11:26:39.362277,97.07 %
B62qptxgjmuegvWsWgtjsWGyADwm3xx4sSydnV3iVNJHqtoYnWfr429,65,8691,2021-05-22 11:26:39.362277,97.05 %
B62qpFW3CEiqiVi4bRpDKf7ZNq3qNUKbHKhxQ68EUQ8QeeK5pksZVsE,66,8690,2021-05-22 11:26:39.362277,97.04 %
B62qkHM9NT3nDefqUvSMe8qnfEfeXipqkzZrvoBXpfaC9m2BdYjWVJA,67,8687,2021-05-22 11:26:39.362277,97.01 %
B62qoERu6rA6UUxk6yNYN9CfrvXwNB7tBF94TQucZNRkabQNiDJoMiR,68,8685,2021-05-22 11:26:39.362277,96.98 %
B62qq1xGN57tke8jJ3EuJMgFmgWQRoip6kKoBsTuLxsGXVqQXMN5oVj,69,8683,2021-05-22 11:26:39.362277,96.96 %
B62qrfRjSn7Wz1JAyM66rd46Zcf37sWa9tobyXh9wfZubHEfozW3SAf,70,8676,2021-05-22 11:26:39.362277,96.88 %
B62qowREyBtVMpp8RVkbmfvZgxryNUzcJnRnH9LRs5xgAXkHhLyBEyz,71,8675,2021-05-22 11:26:39.362277,96.87 %
B62qmM9KDeqvu3TVpQStGJARgg7KppxE8UF3xMdtKV9TDc33kSUGug5,72,8674,2021-05-22 11:26:39.362277,96.86 %
B62qpwXadr3bwPsV5M7NSTZUGRaED3FPy4Ju517PqTZWWfjS8h2dy9K,73,8669,2021-05-22 11:26:39.362277,96.81 %
B62qpVUF5PXf7vh4eH8cZ3om3mp23bQJPDqwE2iB8BaE5ZUhaCJdU8L,74,8667,2021-05-22 11:26:39.362277,96.78 %
B62qrYveCMCW2tr5J8gu9T1rh817zsq7j8cjc9mHEecQS2tRMnoNTsy,75,8667,2021-05-22 11:26:39.362277,96.78 %
B62qkd9DEVB4G5AxN2siEXVCgs6VFigNCecmU4gTizTber4hHexwid1,76,8666,2021-05-22 11:26:39.362277,96.77 %
B62qijDC2gCTtcqYGnUAc9YgH2Uw4fzr8xEKKL4faZmWyAypgEe3oWC,77,8664,2021-05-22 11:26:39.362277,96.75 %
B62qq6ceNHCu9mSBvczmHS5JzHC4zw5U9KLALuwZPemeksx82AEfQSr,78,8652,2021-05-22 11:26:39.362277,96.62 %
B62qp7J9DJWb4y9BsXiixdRQLGvouFmrpyiv1fmF2vPSV1tXhWuTiyD,79,8652,2021-05-22 11:26:39.362277,96.62 %
B62qnzLZyeTiesV9EvUxUU2AHqyWfd7kAWEWL8QqJm5Uaadpmwafrj2,80,8646,2021-05-22 11:26:39.362277,96.55 %
B62qm4QbSnmQWM3x7SUiQeWAjb6iiooWNd8iaxtDvsne7YP4nC8Nh7f,81,8641,2021-05-22 11:26:39.362277,96.49 %
